title,human,ChatGPT,author,Claude,deepseek
Properties Of Nonparametric Estimators Of Autocovariance For Stationary Random-fields,"We introduce nonparametric estimators of the autocovariance of a   stationary random field. One of our estimators has the property that it   is itself an autocovariance. This feature enables the estimator to be   used as the basis of simulation studies such as those which are   necessary when constructing bootstrap confidence intervals for unknown   parameters. Unlike estimators proposed recently by other authors, our   own do not require assumptions such as isotropy or monotonicity. Indeed,   like nonparametric function estimators considered more widely in the   context of curve estimation, our approach demands only smoothness and   tail conditions on the underlying curve or surface (here, the   autocovariance), and moment and mixing conditions on the random field.   We show that by imposing the condition that the estimator be a   covariance function we actually reduce the numerical value of integrated   squared error.","We propose nonparametric estimators for the autocovariance of a stationary random field. Notably, one of our estimators possesses the unique property of being an autocovariance itself. This characteristic allows the estimator to serve as a foundation for simulation studies essential for constructing bootstrap confidence intervals for unknown parameters. Unlike recent estimators put forth by other researchers, our method does not rely on assumptions such as isotropy or monotonicity. Instead, similar to widely used nonparametric function estimators in curve estimation, our approach requires only smoothness and tail conditions on the underlying curve or surface (in this case, the autocovariance), along with moment and mixing conditions on the random field. We demonstrate that by ensuring the estimator qualifies as a covariance function, we effectively reduce the numerical value of the integrated squared error.",Peter Hall,"Here is a lightly edited version of the abstract, maintaining a similar length and rephrasing the content:

This paper introduces nonparametric estimators for the autocovariance of a stationary random field. One of our proposed estimators has the distinct property of being an autocovariance function itself. This feature allows the estimator to serve as the basis for simulation studies, such as those required for constructing bootstrap confidence intervals for unknown parameters. Unlike recent estimators from other authors, our approach does not rely on assumptions like isotropy or monotonicity. Similar to nonparametric function estimators used in curve estimation, our method only requires smoothness and tail conditions on the underlying autocovariance function, as well as moment and mixing conditions on the random field. We demonstrate that by imposing the constraint that the estimator must be a valid covariance function, we actually achieve a reduced numerical value of the integrated squared error.","We present nonparametric estimators for the autocovariance of a stationary random field. One estimator is designed to itself be an autocovariance, allowing it to serve as a foundation for simulation studies, including those needed for bootstrap confidence intervals. Unlike recent alternatives proposed by others, our estimators avoid assumptions like isotropy or monotonicity. Similar to broader nonparametric function estimation in curve analysis, our method only requires smoothness and tail conditions on the underlying autocovariance, along with moment and mixing conditions on the random field. We demonstrate that enforcing the estimator’s covariance property reduces the integrated squared error numerically."
Smoothed Cross-validation,"For bandwidth selection of a kernel density estimator, a generalization   of the widely studied least squares cross-validation method is   considered. The essential idea is to do a particular type of   ``presmoothing'' of the data. This is seen to be essentially the same   as using the smoothed bootstrap estimate of the mean integrated squared   error. Analysis reveals that a rather large amount of presmoothing   yields excellent asymptotic performance. The rate of convergence to the   optimum is known to be best possible under a wide range of smoothness   conditions. The method is more appealing than other selectors with this   property, because its motivation is not heavily dependent on precise   asymptotic analysis, and because its form is simple and intuitive.   Theory is also given for choice of the amount of presmoothing, and this   is used to derive a data-based method for this choice.","This paper explores a generalization of the widely studied least squares cross-validation method for selecting bandwidth in kernel density estimation. The key idea involves a specific form of ""presmoothing"" applied to the data, which closely aligns with the smoothed bootstrap estimate of the mean integrated squared error. Our analysis demonstrates that a substantial degree of presmoothing can lead to excellent asymptotic performance. Notably, the rate of convergence to the optimal bandwidth is established as best possible across a variety of smoothness conditions. This method stands out from other selectors with similar capabilities, as its motivation is grounded less in precise asymptotic analysis and more in a straightforward and intuitive approach. Additionally, we provide theoretical guidance for determining the appropriate level of presmoothing and propose a data-driven method for its selection.",Peter Hall,"Here is a slightly edited version of the abstract, while maintaining a similar length:

This paper examines a generalized approach to selecting the bandwidth for kernel density estimation. The key idea is to employ a specific type of ""presmoothing"" of the data, which is equivalent to using the smoothed bootstrap estimate of the mean integrated squared error. Analysis demonstrates that a substantial degree of presmoothing leads to excellent asymptotic performance, with the rate of convergence to the optimum being optimal under a broad range of smoothness assumptions. This method is more appealing than other selectors with this property, as its justification does not heavily rely on precise asymptotic analysis, and its form is straightforward and intuitive. The paper also provides theoretical guidance for choosing the amount of presmoothing, which is then used to derive a data-driven procedure for this selection.","For bandwidth selection in kernel density estimation, a generalized version of the widely used least squares cross-validation approach is examined. The core concept involves applying a specific form of ""presmoothing"" to the data. This approach effectively mirrors the smoothed bootstrap estimate of mean integrated squared error. Analysis shows that a relatively high degree of presmoothing delivers strong asymptotic performance. The convergence rate to the optimal bandwidth is known to be the best achievable under broad smoothness assumptions. Compared to other selectors with this property, the method is more attractive because its motivation doesn’t rely heavily on detailed asymptotic analysis, and its form is straightforward and intuitive. Theoretical guidance is also provided for selecting the presmoothing level, which is then used to develop a data-driven selection method."
Lower Bounds For Bandwidth Selection In Density-estimation,"This paper establishes asymptotic lower bounds which specify, in a   variety of contexts, how well (in terms of relative rate of convergence)   one may select the bandwidth of a kernel density estimator.  These   results provide important new insights concerning how the bandwidth   selection problem should be considered.  In particular it is shown that   if the error criterion is Integrated Squared Error (ISE) then, even   under very strong assumptions on the underlying density, relative error   of the selected bandwidth cannot be reduced below order n-1/10 (as the   sample size grows).  This very large error indicates that any technique   which aims specifically to minimize ISE will be subject to serious   practical difficulties arising from sampling fluctuations.    Cross-validation exhibits this very slow convergence rate, and does   suffer from unacceptably large sampling variation.  On the other hand,   if the error criterion is Mean Integrated Squared Error (MISE) then   relative error of bandwidth selection can be reduced to order n-1/2,   when enough smoothness is assumed.  Therefore bandwidth selection   techniques which aim to minimize MISE can be much more stable, and less   sensitive to small sampling fluctuations, than those which try to   minimize ISE.  We feel this indicates that performance in minimizing   MISE, rather than ISE, should become the benchmark for measuring   performance of bandwidth selection methods.","This paper establishes asymptotic lower bounds that articulate, across various contexts, the efficacy of selecting the bandwidth of a kernel density estimator in terms of relative rate of convergence. The findings offer significant new perspectives on how to approach the bandwidth selection problem. Notably, it is demonstrated that if the error criterion is Integrated Squared Error (ISE), even under stringent assumptions regarding the underlying density, the relative error in the chosen bandwidth cannot be diminished below the order of n^(-1/10) as the sample size expands. This considerable error suggests that any methodology specifically aimed at minimizing ISE will encounter major practical challenges due to sampling fluctuations. Cross-validation illustrates this slow convergence rate and suffers from excessively large sampling variation. Conversely, when the error criterion is Mean Integrated Squared Error (MISE), the relative error in bandwidth selection can be reduced to the order of n^(-1/2), given sufficient smoothness of the underlying density. Therefore, bandwidth selection techniques focusing on minimizing MISE tend to be far more stable and less affected by minor sampling fluctuations than methods targeting ISE minimization. We propose that prioritizing performance in minimizing MISE, rather than ISE, should serve as the standard for evaluating the efficacy of bandwidth selection methods.",Peter Hall,"This paper establishes asymptotic lower bounds that specify how well one can select the bandwidth of a kernel density estimator in various contexts, in terms of the relative rate of convergence. These results provide important new insights into the bandwidth selection problem. Specifically, it is shown that if the error criterion is Integrated Squared Error (ISE), even under very strong assumptions about the underlying density, the relative error of the selected bandwidth cannot be reduced below the order of n^(-1/10) as the sample size grows. This large error indicates that any technique aimed at minimizing ISE will face significant practical difficulties due to sampling fluctuations. Cross-validation exhibits this very slow convergence rate and suffers from unacceptably large sampling variation. On the other hand, if the error criterion is Mean Integrated Squared Error (MISE), the relative error of bandwidth selection can be reduced to the order of n^(-1/2) when enough smoothness is assumed. Therefore, bandwidth selection techniques that aim to minimize MISE can be much more stable and less sensitive to small sampling fluctuations than those that try to minimize ISE. This suggests that performance in minimizing MISE, rather than ISE, should become the benchmark for evaluating the performance of bandwidth selection methods.","This paper derives asymptotic lower bounds that characterize, across various scenarios, the optimal relative convergence rate for selecting the bandwidth of a kernel density estimator. These findings offer key new perspectives on how to approach the bandwidth selection problem. Specifically, we demonstrate that when using Integrated Squared Error (ISE) as the error criterion, even under highly favorable assumptions about the underlying density, the relative error of the chosen bandwidth cannot improve beyond order n−1/10 (as sample size increases). This substantial error implies that any method targeting ISE minimization will face significant practical challenges due to sampling variability.  

Cross-validation, which follows this slow convergence rate, indeed suffers from excessive sampling variation. Conversely, when the error criterion is Mean Integrated Squared Error (MISE), the relative error in bandwidth selection can improve to order n−1/2 under sufficient smoothness conditions. Consequently, methods designed to minimize MISE tend to be far more stable and less affected by minor sampling fluctuations than those targeting ISE. We argue that minimizing MISE, rather than ISE, should serve as the standard for evaluating bandwidth selection techniques."
On Convergence-rates Of Suprema,"It is shown that the convergence rate of suprema of stationary Gaussian   and related processes, such as processes defined by the empirical   distribution function, is logarithmically slow, even if the rates are to   be uniform over as few as three points.  It is proved that the bootstrap   approximation provides a substantial improvement.","This study demonstrates that the convergence rate of the suprema of stationary Gaussian processes, as well as related processes defined by the empirical distribution function, is logarithmically slow—even when considering uniform rates over as few as three points. Our findings show that employing the bootstrap approximation yields a significant enhancement in this context.",Peter Hall,"Here is a lightly edited version of the abstract:

The study demonstrates that the convergence rate of suprema for stationary Gaussian processes and related processes, such as those defined by the empirical distribution function, is logarithmically slow, even when the rates are required to be uniform across as few as three points. The analysis further reveals that the bootstrap approximation offers a significant enhancement to this convergence rate.","The study demonstrates that the convergence rate of suprema for stationary Gaussian and related processes—including those defined by empirical distribution functions—is logarithmically slow, even when uniform over as few as three points. Additionally, the bootstrap approximation is shown to offer significant improvement."
Convergence-rates In Density-estimation For Data From Infinite-order Moving Average Processes,"Summary The effect of long-range dependence in nonparametric probability density estimation is investigated under the assumption that the observed data are a sample from a stationary, infinite-order moving average process. It is shown that to first order, the mean integrated squared error (MISE) of a kernel estimator for moving average data may be expanded as the sum of MISE of the kernel estimator for a same-sizerandom sample, plus a term proportional to the variance of the moving average sample mean. The latter term does not depend on bandwidth, and so imposes a ceiling on the convergence rate of a kernel estimator regardless of how bandwidth is chosen. This ceiling can be quite significant in the case of long-range dependence. We show thatall density estimators have the convergence rate ceiling possessed by kernel estimators.","**Summary**  
This study explores the impact of long-range dependence on nonparametric probability density estimation, assuming the observed data is derived from a stationary, infinite-order moving average process. We demonstrate that, to first approximation, the mean integrated squared error (MISE) of a kernel estimator for moving average data can be expressed as the sum of the MISE for a corresponding random sample of the same size, plus an additional term that is proportional to the variance of the moving average sample mean. Notably, this latter term is independent of the bandwidth choice, establishing a limit on the convergence rate of a kernel estimator, irrespective of bandwidth selection. This ceiling can be considerable when addressing long-range dependence. Furthermore, we establish that all density estimators exhibit a similar convergence rate ceiling to that of kernel estimators.",Peter Hall,"Edited Abstract:

This study investigates the impact of long-range dependence on nonparametric probability density estimation, assuming the observed data are drawn from a stationary, infinite-order moving average process. We find that the mean integrated squared error (MISE) of a kernel estimator for moving average data can be decomposed into two components: the MISE of the kernel estimator for an independent, identically distributed sample, and a term proportional to the variance of the moving average sample mean. Notably, the latter term is independent of the bandwidth, thereby imposing an upper limit on the convergence rate of the kernel estimator, which can be substantial in the presence of long-range dependence. Furthermore, we demonstrate that this convergence rate ceiling is a universal feature of all density estimators, not just kernel-based methods.","Summary  
This study examines the impact of long-range dependence in nonparametric density estimation, assuming the observed data are drawn from a stationary, infinite-order moving average process. The analysis reveals that, to first order, the mean integrated squared error (MISE) of a kernel estimator for such data can be expressed as the MISE of a kernel estimator for an equivalent-sized random sample, plus a term proportional to the variance of the moving average sample mean. This additional term is bandwidth-independent, imposing a fixed limit on the convergence rate of the kernel estimator, regardless of bandwidth selection. The constraint can be substantial under long-range dependence. We demonstrate that all density estimators share this convergence rate limitation with kernel estimators."
Performance Of Balanced Bootstrap Resampling In Distribution Function And Quantile Problems,"Summary It is shown that balanced resampling improves on ordinary uniform resampling when employed to estimate distribution functions or quantiles, but that the improvement is not by an order of magnitude as happens in problems such as bias estimation. Maximum improvement occurs at the centre of the distribution, where performance increases by 175%. The increase is only 16% at the 2.5% and 97.5% quantiles. In general the improvement is by the factor {1−φ2(1−Φ)Φ}−1, where Φ is the standard normal distribution function and φ=Φ′.","Here’s a revised version of your abstract:

**Summary**   
This study demonstrates that balanced resampling outperforms ordinary uniform resampling when estimating distribution functions or quantiles, though the enhancement is not as significant as seen in bias estimation problems. The maximum improvement occurs at the center of the distribution, showcasing a performance increase of 175%. In contrast, the enhancement is only 16% at the 2.5% and 97.5% quantiles. Overall, the improvement factor is given by {1−φ²(1−Φ)Φ}⁻¹, where Φ represents the standard normal distribution function and φ = Φ′.",Peter Hall,"Edited Abstract:

This study demonstrates that balanced resampling outperforms standard uniform resampling in estimating distribution functions and quantiles, although the magnitude of improvement is not as substantial as observed in bias estimation problems. The maximum enhancement occurs at the center of the distribution, where performance increases by 175%. However, the improvement is only 16% at the 2.5% and 97.5% quantiles. In general, the degree of improvement is governed by the factor {1−φ2(1−Φ)Φ}−1, where Φ represents the standard normal distribution function and φ is its derivative.","Summary Balanced resampling outperforms standard uniform resampling when estimating distribution functions or quantiles, though the improvement is not as substantial as in cases like bias estimation. The greatest enhancement occurs at the distribution’s center, with a 175% performance gain, while only a 16% improvement is observed at the 2.5% and 97.5% quantiles. The general improvement factor is {1−φ²(1−Φ)Φ}⁻¹, where Φ denotes the standard normal distribution function and φ=Φ′."
Effects Of Design And Error On Normal Convergence-rates In Regression Problems,"Summary We describe the way in which design and experimental error interact to determine convergence rates in central limit theorems for regression estimators. For example, we show that if the convergence rate in a central limit theorem for experimental errors alone isn−α, wheren is sample size and 0<α<1/2, then this rate is maintain in a central limit theorem for intercept and slope parameters if and only if the distribution generating design has finite (2+2α)'th moment. We prove that in other circumstances a careful choice of design can substantially improve convergence rates by introducing a degree of symmetry not present in the error distribution. Other results on the relationship between design and error are also derived.","**Summary**  
We examine how design factors and experimental error interplay to influence convergence rates in central limit theorems for regression estimators. Specifically, we demonstrate that if the convergence rate for experimental errors alone is \( n^{-\alpha} \) (where \( n \) is the sample size and \( 0 < \alpha < 1/2 \)), this rate is preserved in the central limit theorem for intercept and slope parameters if and only if the underlying design distribution possesses a finite \( (2 + 2\alpha) \)-th moment. We also establish that, under different conditions, a judicious selection of design can significantly enhance convergence rates by introducing a degree of symmetry that the error distribution lacks. Additionally, we derive other insights concerning the relationship between design and experimental error.",Peter Hall,"Edited Abstract:

This study examines the interplay between experimental design and error in determining the convergence rates of central limit theorems for regression estimators. We demonstrate that the convergence rate in a central limit theorem for experimental errors alone, which is n^-α (where n is the sample size and 0 < α < 1/2), is maintained for the intercept and slope parameters if and only if the distribution generating the design has a finite (2+2α)th moment. We also show that in other cases, a well-chosen design can significantly improve convergence rates by introducing a degree of symmetry not present in the error distribution. Additional results are derived regarding the relationship between design and error.","We examine how design and experimental error jointly influence convergence rates in central limit theorems for regression estimators. For instance, when the convergence rate for experimental errors alone is \( n^{-\alpha} \) (where \( n \) is sample size and \( 0 < \alpha < 1/2 \)), this rate persists in central limit theorems for intercept and slope parameters only if the design distribution has a finite \((2 + 2\alpha)\)-th moment. We demonstrate that in other cases, selecting an appropriate design can significantly enhance convergence rates by introducing symmetry absent in the error distribution. Additional insights into the interplay between design and error are also established."
Akaikes Information Criterion And Kullback-leibler Loss For Histogram Density-estimation,"Summary We take a detailed look at Akaike's information criterion (AIC) and Kullback-Leibler cross-validation (KLCV) in the problem of histogram density estimation. Two different definitions of “number of unknown parameters” inAIC are considered. A careful description is given of the influence of density tail properties on performance of both types ofAIC and onKLCV. A number of practical conclusions emerge. In particular, we find thatAIC will often give problems when used with heavy-tailed unbounded densities, but can perform quite well with compactly supported densities. In the latter case, both types ofAIC produce similar results, and those results will sometimes be asymptotically equivalent to the ones obtained fromKLCV. However, depending on the shape of the true density, theKLCV method can fail to balance “bias” and “variance” components of loss, with the result thatKLCV andAIC may produce very different results.","**Summary**  
This study offers a comprehensive examination of Akaike's information criterion (AIC) and Kullback-Leibler cross-validation (KLCV) in the context of histogram density estimation. We explore two distinct interpretations of the “number of unknown parameters” in AIC. Additionally, we provide a detailed analysis of how the properties of density tails impact the performance of both AIC variants and KLCV. Our findings yield several practical insights. Notably, AIC often encounters issues when applied to heavy-tailed unbounded densities, whereas it performs effectively with compactly supported densities. In such cases, both AIC types yield comparable outcomes, which can sometimes be asymptotically aligned with those from KLCV. However, depending on the true density's shape, KLCV may struggle to adequately balance the ""bias"" and ""variance"" components of loss, leading to significant discrepancies between the results of KLCV and AIC.",Peter Hall,"Revised Abstract:

This study provides a comprehensive examination of Akaike's information criterion (AIC) and Kullback-Leibler cross-validation (KLCV) in the context of histogram density estimation. Two distinct definitions of the ""number of unknown parameters"" in AIC are explored. The influence of density tail properties on the performance of both AIC and KLCV is thoroughly investigated. The analysis yields several practical insights. It is found that AIC can encounter issues when applied to heavy-tailed, unbounded densities, but can perform well with compactly supported densities. In the latter case, the two versions of AIC yield similar results, which may be asymptotically equivalent to those obtained from KLCV. However, depending on the shape of the true density, the KLCV method may fail to strike the right balance between ""bias"" and ""variance"" components of the loss function, leading to significant divergence between the results of KLCV and AIC.","Summary  
We examine Akaike’s information criterion (AIC) and Kullback-Leibler cross-validation (KLCV) in the context of histogram density estimation. Two interpretations of ""number of unknown parameters"" in AIC are explored. The impact of density tail behavior on the performance of both AIC variants and KLCV is thoroughly analyzed. Several practical insights arise. Notably, AIC often struggles with heavy-tailed unbounded densities but performs well for compactly supported densities. In such cases, both AIC forms yield comparable results, occasionally matching KLCV asymptotically. However, depending on the true density’s shape, KLCV may fail to balance bias and variance in loss, leading to significant discrepancies between KLCV and AIC outcomes."
Unusual Properties Of Bootstrap Confidence-intervals In Regression Problems,"Summary We show that the percentile-t method, and one of the two percentile methods, have unusually good performance when employed to construct bootstrap confidence intervals in a regression setting. In the case of slope parameters, percentile-t produces two-sided intervals with coverage errorn-2, and one-sided intervals with coverage errorn-3/2, wheren is sample size. The errors are onlyn-1 in most other problems. One of the percentile methods produces critical points which are third-order correct for Efron's [11] relatively complex accelerated bias-corrected points.","**Summary**  
We demonstrate that the percentile-t method, along with one of the two percentile approaches, exhibits exceptional performance when used to construct bootstrap confidence intervals in a regression context. For slope parameters, the percentile-t method generates two-sided intervals with a coverage error of \( n^{-2} \) and one-sided intervals with a coverage error of \( n^{-3/2} \), where \( n \) represents the sample size. Most other methods typically yield errors of only \( n^{-1} \). Additionally, one of the percentile methods yields critical values that are third-order correct for Efron's relatively complex accelerated bias-corrected points.",Peter Hall,"Revised Abstract:

This study investigates the performance of various bootstrap-based methods for constructing confidence intervals in a regression setting. Our findings demonstrate that the percentile-t method and one of the two percentile methods exhibit remarkably strong performance. Specifically, for slope parameters, the percentile-t method generates two-sided intervals with coverage error of order n^-2, and one-sided intervals with coverage error of order n^-3/2, where n represents the sample size. In contrast, the coverage errors for most other problems are only of order n^-1. Furthermore, one of the percentile methods produces critical points that are third-order correct for Efron's [11] relatively complex accelerated bias-corrected points.","Summary We demonstrate that the percentile-t approach, along with one of the two percentile methods, exhibits exceptional performance when constructing bootstrap confidence intervals in regression analysis. For slope parameters, percentile-t yields two-sided intervals with coverage error n⁻² and one-sided intervals with coverage error n⁻³ᐟ², where n represents sample size. These errors are notably smaller than the typical n⁻¹ observed in most other scenarios. Additionally, one percentile method achieves third-order accuracy for Efron's [11] accelerated bias-corrected critical points, which are comparatively complex."
Variable Window Width Kernel Estimates Of Probability Densities,"Abstract Kernel density estimators which allow different amounts of smoothing at different locations are studied. Modifications of estimators proposed by Breiman, Meisel and Purcell (1977) and Abramson (1982a), which have variable window widths, are seen to have very fast rates of convergence. These rates have traditionally been obtained using a less natural higher order kernel, which has the disadvantage of allowing an estimator which takes on negative values.","Abstract: This study examines kernel density estimators that permit varying degrees of smoothing across different locations. We explore modifications of the estimators introduced by Breiman, Meisel, and Purcell (1977) and Abramson (1982a), which utilize variable window widths and exhibit remarkably fast rates of convergence. Typically, these rates have been derived using a less intuitive higher-order kernel that poses the drawback of producing estimators that can yield negative values.",Peter Hall,"Revised Abstract:

This study examines kernel density estimators with the capability to apply varying degrees of smoothing at different locations. Modifications to the estimators proposed by Breiman, Meisel, and Purcell (1977) and Abramson (1982a), which employ variable window widths, are found to exhibit remarkably fast convergence rates. These rapid convergence rates have typically been achieved through the use of a less intuitive higher-order kernel, which has the undesirable property of allowing the estimator to take on negative values.","This paper examines kernel density estimators that permit varying degrees of smoothing across different locations. Modified versions of the estimators introduced by Breiman, Meisel, and Purcell (1977) and Abramson (1982a), which incorporate variable window widths, demonstrate significantly improved convergence rates. These accelerated convergence rates were previously achieved only through less intuitive higher-order kernels, which carry the drawback of potentially producing negative-valued estimates."
Estimating The Direction In Which A Data Set Is Most Interesting,"Summary Estimation of orientation is a key operation at each step in projection pursuit. Since projection pursuit is a nonparametric algorithm, and since even low-dimensional approximations to the target function must converge to their limits at rates considerably slower than n -1 2 (where n is sample size), then it might be thought that the same is true of orientation estimates. It is shown in the present paper that this is not the case, and that estimation of orientation is a parametric operation, in the sense that, under mild nonparametric assumptions, correctly-chosen kernel-type orientation estimates converge to their limits at rate n -1 2 . This property is not enjoyed by standard projection pursuit orientation estimates, which converge at a slower rate than n -1 2 . Most attention in the present paper is focussed on the case of projection pursuit density approximation, but it is pointed out that our arguments hold generally. An important practical conclusion is that data should be smoothed less when estimating orientation than when constructing the final projection pursuit approximation.","**Summary**  

Estimating orientation is a crucial step in projection pursuit. While projection pursuit is a nonparametric algorithm—and even low-dimensional approximations of the target function converge at rates slower than n^(-1/2) (where n represents the sample size)—one might assume that orientation estimates exhibit similar behavior. However, this paper demonstrates otherwise, revealing that orientation estimation operates in a parametric manner. Under mild nonparametric assumptions, well-chosen kernel-type orientation estimates converge to their limits at the rate of n^(-1/2). In contrast, standard projection pursuit orientation estimates converge at a slower rate than n^(-1/2). Although the primary focus of this paper is on projection pursuit density approximation, the findings apply more broadly. A key practical takeaway is that less data smoothing should be applied when estimating orientation compared to the final projection pursuit approximation.",Peter Hall,"Estimating orientation is a crucial step in projection pursuit, a nonparametric algorithm. While low-dimensional approximations to the target function must converge to their limits at rates slower than n^(-1/2) (where n is the sample size), the present paper demonstrates that orientation estimation is a parametric operation. Under mild nonparametric assumptions, appropriately chosen kernel-type orientation estimates can converge to their limits at the faster rate of n^(-1/2). This property is not shared by standard projection pursuit orientation estimates, which converge at a slower rate. The paper primarily focuses on projection pursuit density approximation, but the arguments apply more broadly. An important practical implication is that less smoothing is required when estimating orientation compared to constructing the final projection pursuit approximation.","Estimating orientation is a fundamental step in projection pursuit. As a nonparametric method, projection pursuit typically converges to its target function at rates slower than \( n^{-1/2} \) (where \( n \) is sample size), even in low-dimensional approximations. One might assume the same holds for orientation estimates. However, this paper demonstrates otherwise—orientation estimation is parametric in nature. Under mild nonparametric conditions, properly selected kernel-based orientation estimates achieve the faster \( n^{-1/2} \) convergence rate, unlike standard projection pursuit orientation estimates, which converge more slowly. While the focus here is on projection pursuit density approximation, the results apply broadly. A key practical insight is that less smoothing should be used for orientation estimation than for the final projection pursuit approximation."
Exact Convergence Rate Of Bootstrap Quantile Variance Estimator,"Summary It is shown that the relative error of the bootstrap quantile variance estimator is of precise order n-1/4, when n denotes sample size. Likewise, the error of the bootstrap sparsity function estimator is of precise order n-1/4. Therefore as point estimators these estimators converge more slowly than the Bloch-Gastwirth estimator and kernel estimators, which typically have smaller error of order at most n-2/5.","Summary: This study demonstrates that the relative error of the bootstrap quantile variance estimator is precisely of order \( n^{-1/4} \), where \( n \) represents the sample size. Similarly, the error of the bootstrap sparsity function estimator also exhibits a precise order of \( n^{-1/4} \). Consequently, as point estimators, these two estimators converge more slowly than both the Bloch-Gastwirth estimator and kernel estimators, which generally achieve a smaller error of at most \( n^{-2/5} \).",Peter Hall,"Revised Abstract:

This study demonstrates that the relative error of the bootstrap quantile variance estimator exhibits a precise order of n^(-1/4), where n represents the sample size. Similarly, the error of the bootstrap sparsity function estimator follows a precise order of n^(-1/4). Consequently, these point estimators converge at a slower rate compared to the Bloch-Gastwirth estimator and kernel estimators, which typically have a smaller error of order at most n^(-2/5).","Summary The bootstrap quantile variance estimator's relative error is shown to have a precise order of n⁻¹⸍⁴, where n is the sample size. Similarly, the bootstrap sparsity function estimator's error follows the same n⁻¹�⁴ order. Consequently, as point estimators, these converge more slowly than the Bloch-Gastwirth and kernel estimators, which generally achieve smaller errors of at most order n⁻²⸍⁵."
"Products Of Independent, Normally Attracted Random-variables","Summary LetR n denote the correlation coefficient of ann-sample of pairs (X i ,Y i ), each distributed as (X, Y). AssumeX andY are independent and in the domain of attraction of the Normal law. It is shown that this entailsXY being in that domain of attraction, and thatd n R n →N(0, 1) in distribution for constantsd n satisfying lim sup(n1/2/d n )≦1. Examples illustrate details of these limit theorems.","Summary: Let \( R_n \) represent the correlation coefficient of an \( n \)-sample of pairs \( (X_i, Y_i) \), where each pair is distributed as \( (X, Y) \). Under the assumption that \( X \) and \( Y \) are independent and fall within the domain of attraction of the Normal law, it is demonstrated that \( XY \) is also within that domain. Furthermore, it is shown that \( d_n R_n \) converges in distribution to \( N(0, 1) \) for constants \( d_n \) satisfying \( \lim \sup (n^{1/2}/d_n) \leq 1 \). Various examples are provided to illustrate the specifics of these limit theorems.",Peter Hall,"Edited Abstract:

This study examines the asymptotic behavior of the sample correlation coefficient R_n derived from an n-sample of pairs (X_i, Y_i), where each pair follows the joint distribution (X, Y). Assuming that the random variables X and Y are independent and belong to the domain of attraction of the Normal distribution, we establish that their product XY also resides within this domain of attraction. Furthermore, we demonstrate that the standardized sample correlation coefficient d_n R_n converges in distribution to a standard Normal random variable, where the normalizing constants d_n satisfy the condition lim sup(n^(1/2)/d_n) ≤ 1. Several examples are provided to illustrate the details of these limit theorems.","Let \( R_n \) be the correlation coefficient of an \( n \)-sample of pairs \((X_i, Y_i)\), each distributed as \((X, Y)\). Assume \( X \) and \( Y \) are independent and lie in the domain of attraction of the Normal law. It follows that \( XY \) is also in that domain, and \( d_n R_n \to N(0, 1) \) in distribution for constants \( d_n \) with \(\limsup (n^{1/2}/d_n) \leq 1\). Examples demonstrate key aspects of these limit theorems."
Extent To Which Least-squares Cross-validation Minimizes Integrated Square Error In Nonparametric Density-estimation,"Summary Let ho, ĥo and ĥ c be the windows which minimise mean integrated square error, integrated square error and the least-squares cross-validatory criterion, respectively, for kernel density estimates. It is argued that ĥo, not ho, should be the benchmark for comparing different data-driven approaches to the determination of window size. Asymptotic properties of ho-ĥo and ĥ c -ĥo, and of differences between integrated square errors evaluated at these windows, are derived. It is shown that in comparison to the benchmark ĥo, the observable window ĥ c performs as well as the so-called “optimal” but unattainable window ho, to both first and second order.","Summary: Let ho, ĥo, and ĥc represent the windows that minimize the mean integrated square error, integrated square error, and the least-squares cross-validatory criterion, respectively, for kernel density estimates. This paper argues that ĥo, rather than ho, should serve as the benchmark for evaluating various data-driven methods for determining window size. We derive the asymptotic properties of the differences ho - ĥo and ĥc - ĥo, as well as the differences in integrated square errors assessed at these windows. The findings demonstrate that, compared to the benchmark ĥo, the observable window ĥc performs comparably to the so-called ""optimal"" but unattainable window ho, both to first and second order.",Peter Hall,"Edited Abstract:

This paper examines the performance of different methods for selecting the window size in kernel density estimation. The key windows considered are ho, the one that minimizes mean integrated square error, ĥo, which minimizes integrated square error, and ĥc, which minimizes the least-squares cross-validatory criterion. The paper argues that ĥo, rather than ho, should be the benchmark for comparing data-driven approaches to window size selection. Asymptotic properties of ho-ĥo, ĥc-ĥo, and the differences in integrated square errors evaluated at these windows are derived. The analysis shows that, in comparison to the benchmark ĥo, the observable window ĥc performs as well as the ""optimal"" but unattainable window ho, to both first and second order.","Summary Let \( h_o \), \( \hat{h}_o \), and \( \hat{h}_c \) denote the bandwidths that minimize mean integrated squared error, integrated squared error, and the least-squares cross-validation criterion, respectively, for kernel density estimation. We argue that \( \hat{h}_o \), rather than \( h_o \), should serve as the benchmark for evaluating data-driven bandwidth selection methods. Asymptotic properties of \( h_o - \hat{h}_o \) and \( \hat{h}_c - \hat{h}_o \), as well as differences in integrated squared errors at these bandwidths, are derived. Compared to the benchmark \( \hat{h}_o \), the computable bandwidth \( \hat{h}_c \) performs as well as the theoretically ""optimal"" but unobservable \( h_o \), to both first and second order."
