ID,Citation_Type,Ref_Clean_citation,Para_text
ID_364702,Technical basis,Lemieux (2009),"The local discrepancy D(X q , a) measures the difference between the volume of the hyperrectangle [0, a) and the fraction of data points located in [0, a); it is illustrated in Fig. 1(a). The star discrepancy D * (X q ) calculates the supremum over a ∈ [0, 1] d of all the local discrepancies; in other words, the smaller D * (X q ) is, the more space-filling the data points X q are (Fang et al., 2005). Chung (1949) showed that when X q is generated from the uniform distribution on [0, 1] d , D * (X q ) converges to zero with order of convergence O[{log log(q)/q} 1/2 ]. Faster convergence rates can be achieved using space-filling design methods (Pukelsheim, 2006) or the lowdiscrepancy sequence method (Halton, 1960;Sobol, 1967;Owen, 2003). Space-filling design methods, developed in the experimental design literature, seek to generate a set of design points that can cover the space as uniformly as possible. For further details see, for example, Fang et al. (2005), Pukelsheim (2006) and Wu & Hamada (2011). The low-discrepancy sequence method is frequently used in quasi-Monte Carlo and is extensively employed for numerical integration. For a Sobol sequence S q , one type of low-discrepancy sequence, it is known that D * (S q ) is of order O{log(q) d /q}, which is roughly the squared order of D * (X q ) for fixed d. For more in-depth discussions on quasi-Monte Carlo methods see, for example, Lemieux (2009), Dick et al. (2013), Glasserman (2013, Ch. 5) or Leobacher & Pillichshammer (2014) and references therein."
ID_364960,Technical basis,Scharfstein et al. (1999),"Another doubly robust estimator based on μreg was proposed by Scharfstein et al. (1999); see also Bang & Robins (2005). Scharfstein et al. (1999) showed that to obtain a doubly robust estimator, it suffices to model the outcome regression as <U+00E3>(x; ψ) = b{ζ(x;"
ID_365280,Technical basis,Brown (1981),"How should the sets I ( = 1, . . . , L) be defined? One would like to consider sets that might have different design sensitivities, so that the conditional test statistic T in (4) can focus on those sets I with larger design sensitivities. In § 5.1 four possibilities were illustrated: (i) effect modification (Hsu et al., 2013), i.e., larger effects at certain values of matched observed covariates x i ; (ii) possibly larger effects at larger doses d i ; (iii) the possibility akin to a dilated effect (Rosenbaum, 1999), with small effects of expanded benefits on people who rapidly return to work and larger effects on people whose duration of unemployment is long enough to approach the benefit limit, i.e., larger effects r Tijr Cij at larger quantiles of r Cij ; and (iv) groups defined by |Y i |, as in Brown (1981) and Markowski & Hettmansperger (1982)."
ID_365342,Comparison,Zhang et al. (2011),Simulation results reported in the Supplementary Material confirm our theoretical results on the equivalence of the weights proposed by Geskus (2011) and Zhang et al. (2011).
ID_365581,Background,"Chen et al., 2015","The undirected graphical model has been widely used to describe the dependence structures of multivariate variables. For simplicity, most literature only assumes the pairwise interaction in the joint distribution of the multivariate variables (Chen et al., 2015;Yang et al., 2015). Assume that there are p random variables Y 1 , . . . , Y p represented as nodes of the graph G = (V , E), with the vertex set V = {1, . . . , p} and the edge set E ∈ V × V . An edge between vertexes i and j indicates that Y i and Y j are conditionally dependent given the remaining variables. The joint distribution of a pairwise graphical model corresponding to the graph G = (V , E) takes the form"
ID_365878,Background,"Robins & Tsiatis, 1991","Structural failure time models (Robins & Tsiatis, 1991;Robins, 1992) and marginal structural models (Robins, 2000;Hernán et al., 2001) have been used to handle time-varying confounding effectively. Structural failure time models simulate the potential failure time outcome that would have been observed in the absence of treatment, referred to as the potential baseline failure time, by removing the treatment effect, while marginal structural models specify the marginal relationship between potential outcomes under different treatments, possibly adjusting for the baseline covariates. Structural failure time models have certain features that are more desirable than marginal structural models (Robins, 2000): structural failure time models allow for the modelling of time-varying treatment modification effects using the post-baseline time-dependent covariates; they are more flexible in terms of translating biological hypotheses into their parameters (Robins, 1998b;Lok, 2008); and g-estimation (Robins, 1998b) for structural failure time models does not require the probability of receiving treatment at each time-point to be positive for all subjects."
ID_366022,Technical basis,Imai & Ratkovic (2014),"Equation ( 37) is used in Imai & Ratkovic (2014) as a balancing equation in propensity score estimation for estimating ν 1 -ν 0 . We point out two simple results which, though straightforward as shown below, do not seem to have been discussed before."
ID_366114,Background,Cao & Xie (2016),"Our work can be seen as a variant of low-rank Poisson matrix recovery. Salmon et al. (2014) studied nonlocal principal component analysis for Poisson matrix data. A two-step procedure was proposed: after achieving a warm start via regular singular value decomposition, the iterative Newton steps were applied until convergence. Soni & Haupt (2014) considered the Poisson denoising problem with sparse and structured dictionary models.A constrained maximum likelihood method was proposed and the 2 risk upper bound was developed using complexity-penalized maximum likelihood analyses. Cao & Xie (2016) introduced penalized and constrained likelihood methods for Poisson matrix recovery and Poisson matrix completion, respectively. Theoretical guarantees were developed, including near-matching minimax-optimal bounds for Frobenius norm loss in Poisson matrix completion. However, these results are not directly applicable to our problem. In microbiome 16S rRNA sequencing data analysis, our goal is to estimate the microbial composition rather than their absolute values for each individual. In addition, the hidden sparse dictionary structure imposed by Soni & Haupt (2014) is not likely to hold in our applications. The zero counts in our problem are due to undersampling, which is different from the missing entries in Poisson matrix completion (Cao & Xie, 2016). Theoretically, our proposed penalized nuclear norm minimization estimator is convex and is proved to achieve near-optimal rates of estimation risks in both Kullback-Leibler divergence and the Frobenius norm."
ID_366536,Technical basis,"Anagnostopoulos et al., 2008","Lloyd's algorithm is arguably the most popular approach for k-means clustering, due to its simplicity and fast convergence. It is not guaranteed to converge to a local minimum, though, if the local minimum is defined as a partition of the data where moving any single point to a different cluster increases the objective function. Arthur & Vassilvitskii (2007) showed that Lloyd's algorithm combined with a good starting point instead of a purely random start can provide an accurate approximate solution with small optimality gap. Here, we initialize our algorithm by k-means on slices of data, known as marginal clustering, which has been proved to be a very good initial point in the co-clustering literature (Anagnostopoulos et al., 2008). In our numerical studies we repeat the algorithm three times and retain the choice with the smallest objective value, and use weights ω i ≡ 1. The algorithm performs very satisfactorily in our simulations shown in § 4.2."
ID_366590,Comparison,Patilea et al. (2016),"Remark 1. Patilea et al. (2016) also proposed a wild bootstrap procedure to improve the finitesample performance of their smoothing-based test. It is worth pointing out the differences between the two wild bootstrap procedures. In particular, Patilea et al. (2016)"
ID_366961,Technical basis,"Spiegelhalter et al., 2002","The marginal likelihood can be used to calculate the posterior probability of the model given the data, p(M | y 1:n ) ∝ p M (y 1:n ) p(M), as it is the probability of the data being generated under the prior when the model is correctly specified (Robert, 2007, Ch. 7). The ratio of marginal likelihoods between models is known as a Bayes Factor, and quantifies the prior-to-posterior odds on observing the data. The marginal likelihood can be difficult to compute if the likelihood is peaked with respect to the prior, although Monte Carlo solutions exist; see Robert & Wraith (2009) for a survey. Under vague priors, the marginal likelihood may also be highly sensitive to the prior dispersion even if the posterior is not; a well-known example is Lindley's paradox (Lindley, 1957;O'Hagan & Forster, 2004;Robert, 2014). As a result, its approximations such as the Bayesian information criterion (Schwarz, 1978) or the deviance information criterion (Spiegelhalter et al., 2002) are widely used; see also Gelman et al. (2014)."
ID_367215,Technical basis,Chopin & Ridgway (2017),"(y, β) = i=1 1 y i x T i β < 0 , (11) where y i ∈ {-1, 1}, x i is a vector of predictors and β is a regression coefficient. The target distribution of the form (10) based on the loss function (11) was suggested as a challenging test case by Chopin & Ridgway (2017). We use the SECOM data from the UCI machine learning repository, which records various sensor data that can be used to predict the production quality of a semiconductor, measured as pass or fail. We first remove the predictors with more than 20 missing cases and then remove the observations that still had missing predictors, leaving 1477 cases with 376 predictors. All the predictors are normalized and the regression coefficients β i are given N (0, 1) priors. Figure 3(b) illustrates the complexity of the target distribution."
ID_714,Technical basis,Angers (1987),"A second motivation for Case 3 is that it can allow use of subjective information about <U+2424> (through choice of <U+2424> 0 and A), yet utilizes this information in a very robust fashion. For instance, if π 3 λ is chosen to be inverse gamma b -1 /2 2/ b -1 , then π 2 <U+2424> is <U+202B><U+0794><U+202C> k b -1 <U+2424> 0 A . The considerable robustness of <U+202B><U+0794><U+202C> priors here was established in Angers (1987); see also Berger (1985) and Berger and Robert (1990)."
ID_912,Technical basis,Morgan and Uddin 1993a,"x next theorem cf. Morgan and Uddin 1993a , Theorem 8 and its proof ."
ID_183,Background,He and Wang (1995),"where δ n is a sequence of positive numbers. Various forms of δ n have been used in the literature. For example, Huber (1967) considered δ n = n for his consistency theorem and δ n = √ n for asymptotic normality. He and Wang (1995) used δ n = n log log n to establish the law of the iterated logarithm for θ n . In most cases, the left-hand side of (2.1) is actually equal to zero, but the least absolute deviation of linear regression is one important exception."
ID_1607,Technical basis,Kwapien and Woyczynski (1992),"In the last step we used the contraction principle for random quadratic forms [see Kwapien and Woyczynski (1992), Proposition 6.3.2]. For x < y both taken from 0 2 -2p π we have in view of Theorem 3.1 in Rosinski and Woyczynski (1987) or Theorem 6.9.4 in Kwapien and Woyczynski (1992) for an arbitrary 1 < μ < α and positive constants c. An application of the maximal inequality Theorem 12.2 in Billingsley (1968) yields that P Y j -Y j > ε p /2 ≤ cε -μ p 2 -2pμ jj 2 -2p μ 2 p μ+1 = c jj 2 -2p μ 2 p 1+μ -1+2/γ and, again applying the same inequality, we obtain"
ID_1182,Comparison,Doss and Gill 1992,"We considered a data set consisting of survival times following treatment w<U+017D> . for malignant melanoma; see Andersen, Borgan, Gill and Keiding 1993 , x pages 11 and 709 . The analysis was restricted to the 87 males under study, of whom 31 were observed to die from the disease and the remaining were censored observations. Figure 1 gives the 90% LR and bootstrap bands for w x the quantile function on the interval 0, 0.25 . The bootstrap band is the <U+017D> . ''method 1'' band of Doss and Gill 1992 . For this data set the LR band is considerably narrower than the bootstrap band."
ID_1538,Comparison,Wei 1989,"Throughout this paper, we assume broad conditions like those found in <U+017D> . <U+017D> . Huber 1967 or White 1982 that ensure the consistency of the maximum <U+017D> . <U+017D> . likelihood estimate and the asymptotic normality of r , u and . Under <U+02C6>U U a model misspecification, we denote the limit of by with components and U , and under model correctness, by with components and . In 0 0 0 U w <U+017D> . some special cases, and will coincide Gould and Lawless 1988 ; Lin 0 <U+017D> .x and Wei 1989 . However, in general this will not be the case, and one must assume that under a model misspecification U still has a meaningful scientific interpretation since this is the only quantity for which we may conduct inference."
ID_1352,Technical basis,Pezzulli and Silverman 1993,"sumed to be drawn from a stochastic process X on a bounded interval J J, say. <U+017D> . Data that are or may be considered as being of this kind, rather than the vectors of standard multivariate analysis, arise in an increasing number of <U+017D> . fields of application. Rice and Silverman 1991 discussed a method for smoothed principal components analysis of such functional data, and some <U+017D> . properties of this method were described by Pezzulli and Silverman 1993 ."
ID_1778,Comparison,Joreskog and Sorbom 1989,"x Joreskog and Sorbom 1989 , page 4 , assume instead that and are ¨¨<U+017D> . y1 <U+017D> . uncorrelated. Since s I y B <U+232B> q it is obvious that the latter is implied by our set of assumptions, but not the other way around. However, <U+017D> . since all models in Joreskog and Sorbom 1989 in fact do have uncorre-¨lated with , it seems that this is tacitly presumed by them, so LI-1 simply <U+017D> . y1 <U+017D> . makes this explicit. Substituting s I y B <U+232B> q into the measurement equation for Y, this also leads to the ''natural'' condition that in all equations the errors are uncorrelated with the regressors."
ID_119,Technical basis,Devroye and Penrod (1984),"Lemma 4 [Devroye (1983)]. Assume K ≥ 0. If E f nhf → 0 for some density f and some sequence h, then h → 0 and nh d → ∞. Conversely, if h → 0 and nh d → ∞, then E f nhf → 0 for all densities f. Lemma 5 [Devroye and Penrod (1984)"
ID_757,Background,Nicholls and Quinn 1982,"<U+017D> . j j jy1 j <U+00C4> 4 <U+00C4> for some unknown in <U+202B>,<U+0792><U+202C> and for independent sequences : j g <U+202B><U+079A><U+202C> and Z : j j 4 j g <U+202B><U+079A><U+202C> of independent and identically distributed random variables with distribution functions F and G, respectively. Here <U+202B><U+079A><U+202C> denotes the set of all integers. The importance of general RCAR models in time series analysis is <U+017D> . illustrated in the lecture notes by Nicholls and Quinn 1982 and in the book <U+017D> . by Tong 1990 ."
ID_1082,Background,Donoho and Johnstone (1996),"The following results will show that the rate of convergence of linear procedures may be strictly slower than that of nonlinear ones. This phenomenon is associated with a difference between the order of integration, p , in the loss function and the order, p, in the regularity constraints. It has already been observed in the related context of regression [Nemirovskii (1985) and Donoho and Johnstone (1996)] and estimation over p balls [Donoho and Johnstone (1994)]. In the case of density estimation, we have the following results, beginning first with linear estimators. In the sequel, we denote the risk by E f fnf p p 1/p even in the case p = ∞ where it signifies E f fnf ∞ . In the following result, we shall also need a domination condition in the case 1 ≤ p < 2. Let ω ∈ L p/2 <U+202B><U+0792><U+202C> be an even function, nondecreasing on <U+202B><U+0792><U+202C> + and set"
ID_401,Background,Bickel 1982,"O n estimator for <U+2424> is relatively straightforward using semiparap w <U+017D> . metric regression methods see Bickel 1982 for a study of the general x regression problem with unknown error . Now to estimate the covariate parameter <U+2424>, we only need to multiply a y1 <U+2424> estimate with an estimate for ."
ID_308,Background,Pearl (1987),"Over the last ten years, the special MCMC scheme known as the Gibbs sampler has become an important tool for estimating features in high-dimensional distributions π. The method originated with the study of interacting particle systems, such as the Ising model in statistical physics, where it is known as the heat bath algorithm. The Gibbs sampler is also used in image analysis [Grenander (1983) and Geman and Geman (1984)], Bayesian statistics [Smith and Roberts (1993)], spatial statistics [Besag and Green (1993) and Graham (1994)], expert systems [Pearl (1987) and Spiegelhalter, Dawid, Lauritzen and Cowell (1993)], incomplete data problems [Tanner and Wong (1987)] and hierarchical models [Gelfand, Hills, Racine-Poon and Smith (1990)]."
ID_1671,Technical basis,Samuel-Cahn 1995a,"In Section 2 we showed how A and COA can be used to establish the unbiasedness of constant size tests for the Poisson parameter matrix order problem. These notions as well as SCO can be used to obtain similar types of results for other cone order alternatives and for other distributions. In Cohen, <U+017D> . Sackrowitz and Samuel-Cahn 1995a, b the focus is on the normal distribution. For the Poisson and multinomial distributions the results in all the theorems apply to any pairwise contrast cone K K* such that K K* [ H > K K, which includes the simple order cone. Theorem 1.1 is not limited to a polyhedral cone and so it can apply, for example, to a problem discussed in <U+017D> . Pincus 1975 , which deals with a circular cone. See also Cohen, Sackrowitz <U+017D> . and Samuel-Cahn 1995a where Pincus is also referenced."
ID_138,Background,Lepskii 1992,". Recently Lepskii 1990 has shown that for a white noise model it is not possible to find adaptive estimators for the pointwise problem which preserve minimaxity over a range of Lipschitz classes. Furthermore Lepskii showed that if an estimator is asymptotically rate minimax over one Lipschitz class, it must inflate the maximum risk over the other Lipschitz class by at least a logarithmic factor of the sample size. Lepskii even showed that these bounds <U+017D> . can be attained. See also Lepskii 1991, 1992 , and 1992, 1994and Efromovich and Low 1994 for some recent, related results."
ID_1623,Technical basis,Dahlhaus 1988,H H y <U+017D> . w by using Lemma 5.4 of Dahlhaus 1988 note that the taper of Assumption 6 <U+017D> .
ID_1649,Technical basis,Barron and Sheu 1991,"x imposed see Barron and Sheu 1991 , Section 7 . is then the vector of the first m Fourier coefficients of log p with respect to a suitable basis. <U+017E> / 2 r q 2 2 r q 2 <U+017D> . REMARK 2.6. The left-hand side of 2.13 is the intermediate efficiency of T with respect to V <U+017D>0. . If the efficiency equals 1 we say that T is asymptoti-"
ID_1247,Technical basis,Aitchison and Silvey 1958,"<U+017D> . The constraint function f is continuous with derivative F which, by <U+017D> . <U+017D> . A5, is of full column rank u. Finally, the matrix <U+0468> F r<U+0468> <U+0408> s O 1 . These <U+017D> . <U+017D> . <U+017D> . properties of f, along with properties 4.2 , 4.3 , and 4.4 , imply that the <U+017D> . regularity conditions of Aitchison and Silvey 1958 hold. In that paper, they <U+017D> . <U+017D> . showed that under these regularity conditions, the ML solution , to 3.5 <U+02C6>w <U+017D> M . x exists with probability going to 1. Moreover, assuming that model <U+0125>olds, and are consistent estimators of and 0 in the following sense:"
ID_623,Fundamental idea,Ritov (1990),"Theorem 2. Let A > 0. Then, for all N ∈ <U+202B><U+0793><U+202C> E ∞ N A , the following statement holds: sup t≥0 ess-sup E t Nt + <U+202B><U+0786><U+202C> W t ≥ sup t≥0 ess-sup E t N At + <U+202B><U+0786><U+202C> W t Remark. Our method to construct the measures P p works for arbitrary random variables τ, which are randomized stopping times with respect to the process W. By the use of Girsanov's theorem one can find a probability measure P τ under which W tθ tτ + is a standard Brownian motion. So under P τ the observed process W is a Brownian motion process which has drift zero during the random time interval 0 τ and drift θ during τ ∞ . We can now consider the same decision theoretic problem as in Ritov (1990). Nature chooses τ and thus determines P τ , whereas the statistician chooses any stopping time T with respect to W. The loss structure is taken as"
ID_313485,Technical basis,"McCullagh (1987, p. 209)","where H(x t ) is a function whose mean exists and is independent of ko, and x"" = d 2 z/dk 2 . Note that T is defined in (4). Because k is univariate the condensed Bhattacharyya basis notation is used. We show that all terms in the Taylor series (5) are 0 p (l) except the remainder which is o p (l). Two facts are used, the first that (A + -/l o )* = O p (n~**) and the second that U<U+2122> = O p (n""* < '"" t ~1) ), so that on multiplication by n* 0 "" 1 ' an O p (l) term results. The first fact follows from McCullagh (1987, p. 209) and arguments leading to the second are sketched in this proof. The remainder term is negligible compared to the main terms because differentiation of (Al) beyond order t fails to increase its stochastic order of magnitude."
ID_313752,Background,"Oakes, 1989","We have proposed a family of models for describing association in multivariate survival problems with multiple levels of clustering. Because we model association parametrically, our proposed family may be particularly appropriate when association is of key interest and insufficient data are obtainable to justify nonparametric estimation such as that described by Prentice & Cai (1992). A key advantage of our family is its specification subject only to existence of sufficiently regular Laplace transforms. This endows our formulation with a high degree of flexibility while retaining parametric power and interpretability. Moreover, it suggests the use of diagnostics to guide the choice of model in a given data-analytic situation (Oakes, 1989;Genest & Rivest, 1993)."
ID_313484,Fundamental idea,"Barndorff-Nielsen, 1986","Note that U 2 = U c for the case when m 1 = m 2 -1, that is for binary matched pairs. Thus the projected score methodology improves in this case on the 'adjusted profile log likelihood' and the 'modified profile log likelihood' (Barndorff-Nielsen, 1986) illustrated by McCullagh & Tibshirani (1990, p. 337)."
ID_313807,Background,Berger (1992),"for some function V of co, as suggested by Tibshirani (1989). A matching prior of order o(n -1 ) has been suggested by Mukerjee & Dey (1993), by solving an additional equation for V. Berger & Bernardo (1989) extended Bernardo's (1979) reference prior approach, giving a general algorithm to derive a reference prior when parameters are divided into parameters of interest and nuisance parameters. Berger & Bernardo (1992) extended the idea by splitting the parameter space in several groups according to their order of importance. This approach has recently been shown successful in various practical problems (Kass & Wasserman, 1996). Furthermore, in discussion of Ghosh & Mukerjee (1992), Berger (1992) suggested a 'backward' reference prior, obtained by interchanging the roles of the parameters of interest and the nuisance parameters. In view of this, the preceding reference prior is called the 'forward' reference prior."
ID_314261,Technical basis,"Miller, 1981, p. 30","It is known that, after reparametrising and log-transforming, Weibull distributions form a location-scale family (Miller, 1981, p. 30). Therefore this generalised model is a semiparametric model. Our model reduces to the proportional hazards model when the two transformed distributions have the same shape parameter, which may be taken to be unity, without loss of generality, giving exponential distributions. Since Cox's partial likelihood is not available here, we propose to base statistical inferences in this model on the receiver operating characteristic curve where S t and S 2 are the survival curves under study."
ID_314171,Technical basis,Quigley (1992),"O 'Quigley (1992) proposes using 9 n '-if/{x{ri), d n } to estimate the probability of toxicity at the recommended level x(n), where h H is the maximum likelihood estimate. It follows from Theorem 2 and the ^-method that the asymptotic distribution of yjn{8 n -R{x 0 )} is N{0,d o (l-6 o )}."
ID_313844,Fundamental idea,MacEachern (1994),"with <x>j = Tij/(ix + Ti)=2=nj/n. This has the form of a kernel density estimate with kernel locations and corresponding variance matrices provided by the distinct draws from G o . This clarifies structure, although application involves averaging this simple mixture with respect to the posterior for the 9f, or, equivalently, the posterior for the n parameters 9, given in (4). Precise evaluation of ( 4) is difficult even for small sample size n. However, Markov chain simulation schemes can be developed to derive methods for approximately simulating the posterior p(9 {n+1) \D). Sampling the posterior in turn leads to Monte Carlo approximations to the predictive density p(z\D) and its features. Fundamental developments in univariate cases are given by Escobar (1994), and these were extended by Escobar & West (1995) to problems of univariate density estimation. These schemes have since been refined and updated by MacEachern (1994) on which our approach here builds. Some brief review and illustration of this approach are given by West, Muller & Escobar (1994)."
ID_314216,Background,Genest (1987),"and the Frank family model, e.g. Genest (1987), given by The Clayton model with 6 > 0 can be derived by assuming T x and T 2 to be independent given a gamma-distributed random effect or frailty variate that acts multiplicatively on the respective hazard functions. This model also allows negative dependencies and has the property that failure times are absolutely continuous for 6 > -0-5, in which case the cross ratio function (Oakes, 1989) c(t u t 2 y=F(dt u dt 2 )F(t u t 2 )/{F(dt u t 2 )F(t lt dt 2 )} is equal to 1 + 9 at any (t u t 2 ) in the support of {T u T 2 ), adding to the interpretability of 6. See Oakes (1982Oakes ( , 1986Oakes ( , 1989)), Andersen et al. (1993, Ch. 9,10) and Bickel et al. (1993, Ch. 4, 6, 7) for discussion of these and other frailty models. The Frank model has the property that {F^), F 2 {T 2 )} and {1 -F^TJ, 1 -F 2 (T 2 )} have the same distribution."
ID_313781,Fundamental idea,"Wedderburn, 1974","In this paper we propose a criterion for generalised linear model selection based on the predictive minimum description length principle and the idea of prequential analysis, as well as on some results in the theory of quasi-likelihood functions (McCullagh & Nelder, 1989;Wedderburn, 1974)."
ID_313976,Background,Peers (1965),"for all 9, where D a = d/dO a , and the T/^'S are defined in § 2. In (1), 9 is the posterior mode or maximum likelihood estimator of 9, and b n is the asymptotic posterior variance of y/n{tj(9) -tj(9)} up to 0 p {n~l), P $ (.) is the joint probability distribution of X under 9, and P K (.\X) is the posterior distribution of 9 under n. The above paper and those by Peers (1965), Stein (1985), Tibshirani (1989), Ghosh & Mukerjee (1992) and Nicolaou (1993) have considered this problem either to provide frequentist validity of the posterior quantiles or to construct a confidence set for a single component or for a real-valued parametric function of the parameter vector 9. For a scalar parameter of interest 0 t and a scalar orthogonal nuisance parameter 9 2 , Mukerjee & Dey (1993) obtained priors by more accurate matching up to Opin' 1 ) in (1)."
ID_313947,Technical basis,Laud & Ibrahim (1995),"In a recent paper, Madigan et al. (1995) demonstrate an elicitation of prior model probabilities in the context of graphical models by asking an expert to create imaginary cases with the aid of a randomising program. This approach does not average over an imaginary replicate of the real experiment but uses elicited imaginary data in a Bayesian updating of uniform model probabilities. Yet it is similar to this paper in its focus on observable quantities. The paper of Mitchell & Beauchamp (1988) contains an implicit specification of prior model probabilities in its equation (2.7). However, they recommend that the parameters of the prior be gleaned from the data. They also avoid computation of posterior probabilities, providing instead graphical summaries to assess the importance of various covariates. The calculations of the posterior probabilities in § 3 above employed the predictive priors of Laud & Ibrahim (1995), thus using fully predictive priors. If other priors, such as those of George & McCulloch (1993), are more convenient for the regression parameters, these can be used instead in conjunction with the prior model probabilities in (2-10)."
ID_314034,Background,"Murray, 1977","In the case of a multivariate normal density with unknown variance, the optimal predictive distribution in the class invariant under translations and nonsingular linear transformations of the sample space is obtainable (Murray, 1977). Ng (1980) generalised Murray's result These results are exact. On the other hand, estimators which are not invariant under translations, such as the James-Stein estimator and those for complex models are difficult to treat exactly, and the asymptotic approach is useful. The mixture mean curvature (14) of the model vanishes for all a>. Therefore, shifts of an estimative distribution in a direction orthogonal to the model & do not improve the accuracy of the prediction. We can decompose the problem into two subproblems by ( 12). One is the problem of the choice of an efficient estimator d) N (x). The other is the problem of the choice of n\x), which corresponds to the shift of the estimative distribution p{x; cb N (x), 0} in a direction orthogonal to &."
ID_314030,Background,"Eisenhart, 1949","The vector #&((%""*(<&) in ( 6) and the scalar R a ^{co)^(co)g ab ((o)g ci (co)g^(co) in ( 13) are nothing but the mixture mean curvature normal of & at db and the mixture mean curvature of 2<U+00BB> imbedded in M at a. Sometimes (l/m)Ht b g ab and (l/m)tf a ^ §C( ^gfl YY* are called the mean curvature normal and the mean curvature, respectively (Eisenhart, 1949, pp. 168-9;Nomizu & Sasaki, 1994, p. 44)."
ID_314414,Background,"Gardner, Harvey & Phillips (1980)","For this particular parametrisation, the covariances y } , together with y ay {j) = E(a t+j y' t ), can easily be found by using the recursive formulae fo (;>0), Yj~<l>iYjl -----<l>pYj-p = Ya,U)-O 1 y ay (j-l)-...-O q Y ay U-q) 0>0). (3) Many algorithms have been proposed for evaluating the likelihood function when the process is generated by an ARMA (p, q) scheme. See, for example, Ali (1977), Ansley (1979), Dent (1977), Gardner, Harvey & Phillips (1980), Ljung & Box (1979), Luceno (1994a), Melard (1984), Newbold (1974) and Pearlman (1980), in the univariate stationary case; and De Jong & Chu-Chun-Lin (1994), Hall & Nicholls (1980), Hillmer & Tiao (1979), Luceno (1994b), Nicholls & Hall (1979) and Shea (1987Shea ( , 1989) ) for the multivariate case. However, these algorithms cannot generally cope with other more general processes generated by the linear scheme (1)."
ID_314629,Background,Sun (1994),"The exponential family model considered in this paper and the normal model studied by Woodroofe (1992a) both essentially depend on only one parameter. A natural extension of the confidence interval method in the present paper is to testing problems involving several parameters. This is clearly a difficult problem. However, recent work by Woodroofe (1989) and Sun (1994) may provide a good starting point. Woodroofe (1989) was the first to exploit the use of Stein's identity in deriving asymptotic expansions. Interest lay in the estimation of parameters in an adaptive normal linear model. By using a multivariate version of the identity, approximations were derived for the sampling distributions of the maximum likelihood estimators. The results were applied to a sequential test involving two treatments with normal responses and known variances. Sun (1994) showed how a bivariate version of Stein's identity may be used to obtain asymptotic expansions for certain two-parameter models. The derivation of the expansions was considerably simplified by reparametrising the problem so that the parameters varied independently. Sun used his results to approximate the sampling distribution of the loglikelihood ratio statistic for a sequential t-test."
ID_313901,Comparison,"Berger (1985, p. 151)","where a k = pr(M t )/pr(M 0 ) is the prior odds for M k against M o (k = 0,..., K); here BQQ = OQ = 1. In the examples, we take all the prior odds to be equal to one, corresponding to prior information that is 'objective' or 'neutral' between competing models, e.g. Berger (1985, p. 151), but other prior information about the relative plausibility of competing models can easily be taken into account."
ID_313628,Background,"Lan & Wittes, 1988","Other developments for sequential monitoring with an underlying Brownian motion structure can also be applied to this problem. For example, Lan, Rosenberger & Lachin (1993) consider the situation of both continuous and occasional monitoring of clinical trial data, where data are monitored after successive observations using traditional group sequential monitoring techniques. The methodology developed assumes that an underlying Brownian motion process exists and hence it could be applied to the regression model we have developed. Related tools for sequential monitoring, such as the B-value (Lan & Wittes, 1988) and repeated confidence intervals (Jennison & Turnbull, 1989), are also applicable to the regression model."
ID_313856,Fundamental idea,Gelfand & Smith (1990),"The Rao-Blackwell Theorem, a well-known result in mathematical statistics, see e.g. Lehmann (1983, p. 50), shows how to improve upon any given estimator under every convex loss function. The improvement is obtained by calculating a conditional expected value, often involving integrating out an ancillary statistic. The appeal of this important theorem has been extended to simulation settings in the case of Markov chain Monte Carlo methods by Gelfand & Smith (1990) and Liu, Wong & Kong (1994, 1995). They worked, for the most part, in the context of Gibbs sampling. The Rao-Blackwell Theorem was used to show that smoothed estimators, using the available conditional distributions, were an improvement over nonsmoothed estimators."
ID_314141,Technical basis,"Fleming & Harrington, 1991","The estimation of n 0 has been studied extensively (Louis, 1981;Wei & Gail, 1983). Let Yiii) = Y { -T\Z t (i = 1,..., n). Then a reasonable estimating function for rj 0 is the log-rank statistic based on the transformed data {%(rj), ￡,, ZJ (i = 1,..., n), namely Because the random vectors (Y? -T/ 0 Z,) (i=l, ...,n) have the same distribution and because the censoring times C, are independent of the 'survival times' Yf in each group, the statistic U^TJQ) is asymptotically zero-mean normal (Fleming & Harrington, 1991, § 7.2). Let rj be the zero-crossing of U t (ri). Then r) is consistent and asymptotically normal (Louis, 1981;Wei & Gail, 1983)."
ID_314526,Technical basis,Huber (1973),"where Mj(n) = l a fj(x)f](x)fi(dx) is the information matrix of fi. This matrix measures the amount of information contained in n, and we will assume it to be nonsingular. Huber (1973) showed that all M-estimates for p have variance-covariance matrix proportional to MJ 1 ^) asymptotically."
ID_116534,Technical basis,Korn (1982),"(2) offers natural estimates of the f(Xi)' A modification proposed by Korn (1982) for the intervals (1) when f(x) is known to be monotone nondecreasing is given by (-I I'"" ""/ 1/2)"
